NumDevices,MobilitySpeed,TrafficInterval,Sigma,RunNumber,TotalPackets,SuccessfulPackets,PDR_Percent,AvgEnergy_mJ,alg,scenario
1000,0.0,145,7.92,17,110000,89799,81.64,0.169592,ADR-Lite,density
200,33.3,72,7.92,17,22000,13233,60.15,0.879572,ADR-AVG,density
1000,0.0,145,0.00,17,110000,82711,75.19,0.217659,ADR-AVG,density
1000,0.0,145,7.92,17,110000,82138,74.67,0.150581,ADR-MAX,density
200,33.3,72,7.92,17,22000,16083,73.10,0.485905,ADR-Lite,density
1000,0.0,145,0.00,17,110000,95778,87.07,0.169702,ADR-Lite,density
1000,0.0,145,7.92,17,110000,78377,71.25,0.325436,No-ADR,density
200,33.3,72,7.92,17,22000,13270,60.32,0.895751,ADR-MAX,density
1000,0.0,145,0.00,17,110000,84413,76.74,0.154045,ADR-MAX,density
200,33.3,72,7.92,17,22000,14927,67.85,0.325436,No-ADR,density
1000,0.0,3600,0.00,17,110000,109078,99.16,0.155609,ADR-AVG,density
1000,0.0,145,0.00,17,110000,70840,64.40,0.325436,No-ADR,density
200,60.0,145,0.00,17,22000,13041,59.28,0.941759,ADR-AVG,density
1000,0.0,3600,0.00,17,110000,109506,99.55,0.133757,ADR-Lite,density
1000,0.0,3600,0.00,17,110000,109082,99.17,0.130480,ADR-MAX,density
1000,0.0,145,3.96,17,110000,83991,76.36,0.203138,ADR-AVG,density
200,60.0,145,0.00,17,22000,16561,75.28,0.462120,ADR-Lite,density
1000,0.0,145,3.96,17,110000,94337,85.76,0.166037,ADR-Lite,density
1000,0.0,3600,0.00,17,110000,107140,97.40,0.325436,No-ADR,density
200,60.0,145,0.00,17,22000,13036,59.25,0.938039,ADR-MAX,density
1000,0.0,145,3.96,17,110000,85018,77.29,0.150889,ADR-MAX,density
1000,0.0,3600,3.96,17,110000,106129,96.48,0.157398,ADR-AVG,density
200,60.0,145,0.00,17,22000,15619,71.00,0.325436,No-ADR,density
1000,0.0,145,3.96,17,110000,74227,67.48,0.325436,No-ADR,density
1000,0.0,3600,3.96,17,110000,106794,97.09,0.136684,ADR-Lite,density
200,60.0,145,3.96,17,22000,12975,58.98,0.966910,ADR-AVG,density
1000,0.0,3600,3.96,17,110000,106128,96.48,0.131605,ADR-MAX,density
1000,0.0,145,7.92,17,110000,81526,74.11,0.197332,ADR-AVG,density
200,60.0,145,3.96,17,22000,16373,74.42,0.491779,ADR-Lite,density
1000,0.0,3600,3.96,17,110000,107469,97.70,0.325436,No-ADR,density
1000,0.0,145,7.92,17,110000,89799,81.64,0.169592,ADR-Lite,density
200,60.0,145,3.96,17,22000,12963,58.92,0.949827,ADR-MAX,density
1000,0.0,3600,7.92,17,110000,97994,89.09,0.163197,ADR-AVG,density
1000,0.0,145,7.92,17,110000,82138,74.67,0.150581,ADR-MAX,density
200,60.0,145,3.96,17,22000,15571,70.78,0.325436,No-ADR,density
1000,0.0,3600,7.92,17,110000,99311,90.28,0.145730,ADR-Lite,density
1000,0.0,145,7.92,17,110000,78377,71.25,0.325436,No-ADR,density
200,60.0,145,7.92,17,22000,12696,57.71,0.960888,ADR-AVG,density
1000,0.0,3600,7.92,17,110000,97988,89.08,0.135197,ADR-MAX,density
1000,0.0,3600,0.00,17,110000,109078,99.16,0.155609,ADR-AVG,density
200,60.0,145,7.92,17,22000,15857,72.08,0.574374,ADR-Lite,density
1000,0.0,3600,7.92,17,110000,105066,95.51,0.325436,No-ADR,density
1000,0.0,3600,0.00,17,110000,109506,99.55,0.133757,ADR-Lite,density
200,60.0,145,7.92,17,22000,12715,57.80,0.945596,ADR-MAX,density
1000,0.0,72,0.00,17,110000,62089,56.44,0.290568,ADR-AVG,density
1000,0.0,3600,0.00,17,110000,109082,99.17,0.130480,ADR-MAX,density
200,60.0,145,7.92,17,22000,15221,69.19,0.325436,No-ADR,density
1000,0.0,72,0.00,17,110000,82784,75.26,0.331172,ADR-Lite,density
1000,0.0,3600,0.00,17,110000,107140,97.40,0.325436,No-ADR,density
200,60.0,72,0.00,17,22000,13291,60.41,0.878625,ADR-AVG,density
1000,0.0,72,0.00,17,110000,63661,57.87,0.224597,ADR-MAX,density
1000,0.0,3600,3.96,17,110000,106129,96.48,0.157398,ADR-AVG,density
200,60.0,72,0.00,17,22000,16641,75.64,0.446626,ADR-Lite,density
1000,0.0,72,0.00,17,110000,44770,40.70,0.325436,No-ADR,density
1000,0.0,3600,3.96,17,110000,106794,97.09,0.136684,ADR-Lite,density
1000,0.0,72,3.96,17,110000,64739,58.85,0.286109,ADR-AVG,density
200,60.0,72,0.00,17,22000,13305,60.48,0.881440,ADR-MAX,density
1000,0.0,3600,3.96,17,110000,106128,96.48,0.131605,ADR-MAX,density
200,60.0,72,0.00,17,22000,14834,67.43,0.325436,No-ADR,density
1000,0.0,72,3.96,17,110000,82527,75.02,0.234103,ADR-Lite,density
1000,0.0,3600,3.96,17,110000,107469,97.70,0.325436,No-ADR,density
1000,0.0,72,3.96,17,110000,66031,60.03,0.198349,ADR-MAX,density
200,60.0,72,3.96,17,22000,13235,60.16,0.869717,ADR-AVG,density
1000,0.0,3600,7.92,17,110000,97994,89.09,0.163197,ADR-AVG,density
1000,0.0,72,3.96,17,110000,49493,44.99,0.325436,No-ADR,density
200,60.0,72,3.96,17,22000,16416,74.62,0.469406,ADR-Lite,density
1000,0.0,3600,7.92,17,110000,99311,90.28,0.145730,ADR-Lite,density
1000,0.0,72,7.92,17,110000,66556,60.51,0.250878,ADR-AVG,density
200,60.0,72,3.96,17,22000,13241,60.19,0.882800,ADR-MAX,density
1000,0.0,3600,7.92,17,110000,97988,89.08,0.135197,ADR-MAX,density
1000,0.0,72,7.92,17,110000,81053,73.68,0.205977,ADR-Lite,density
200,60.0,72,3.96,17,22000,14877,67.62,0.325436,No-ADR,density
1000,0.0,3600,7.92,17,110000,105066,95.51,0.325436,No-ADR,density
1000,0.0,72,7.92,17,110000,67580,61.44,0.177301,ADR-MAX,density
200,60.0,72,7.92,17,22000,13013,59.15,0.872221,ADR-AVG,density
1000,0.0,72,0.00,17,110000,62089,56.44,0.290568,ADR-AVG,density
1000,0.0,72,7.92,17,110000,57081,51.89,0.325436,No-ADR,density
200,60.0,72,7.92,17,22000,15993,72.70,0.518760,ADR-Lite,density
1000,33.3,145,0.00,17,110000,60538,55.03,0.833177,ADR-AVG,density
1000,0.0,72,0.00,17,110000,82784,75.26,0.331172,ADR-Lite,density
200,60.0,72,7.92,17,22000,13055,59.34,0.909239,ADR-MAX,density
1000,33.3,145,0.00,17,110000,80796,73.45,0.528357,ADR-Lite,density
1000,0.0,72,0.00,17,110000,63661,57.87,0.224597,ADR-MAX,density
200,60.0,72,7.92,17,22000,14676,66.71,0.325436,No-ADR,density
1000,33.3,145,0.00,17,110000,60414,54.92,0.931634,ADR-MAX,density
1000,0.0,72,0.00,17,110000,44770,40.70,0.325436,No-ADR,density
300,0.0,145,0.00,17,33000,29880,90.55,0.168804,ADR-AVG,density
1000,0.0,72,3.96,17,110000,64739,58.85,0.286109,ADR-AVG,density
1000,33.3,145,0.00,17,110000,62647,56.95,0.325436,No-ADR,density
300,0.0,145,0.00,17,33000,31388,95.12,0.142780,ADR-Lite,density
1000,0.0,72,3.96,17,110000,82527,75.02,0.234103,ADR-Lite,density
1000,33.3,145,3.96,17,110000,60590,55.08,0.827788,ADR-AVG,density
300,0.0,145,0.00,17,33000,29995,90.89,0.136604,ADR-MAX,density
1000,33.3,145,3.96,17,110000,79950,72.68,0.558614,ADR-Lite,density
1000,0.0,72,3.96,17,110000,66031,60.03,0.198349,ADR-MAX,density
300,0.0,145,0.00,17,33000,28160,85.33,0.325436,No-ADR,density
1000,33.3,145,3.96,17,110000,60570,55.06,0.925681,ADR-MAX,density
1000,0.0,72,3.96,17,110000,49493,44.99,0.325436,No-ADR,density
300,0.0,145,3.96,17,33000,29668,89.90,0.167625,ADR-AVG,density
1000,33.3,145,3.96,17,110000,63202,57.46,0.325436,No-ADR,density
1000,0.0,72,7.92,17,110000,66556,60.51,0.250878,ADR-AVG,density
300,0.0,145,3.96,17,33000,30781,93.28,0.145155,ADR-Lite,density
1000,33.3,145,7.92,17,110000,59703,54.28,0.850718,ADR-AVG,density
1000,0.0,72,7.92,17,110000,81053,73.68,0.205977,ADR-Lite,density
300,0.0,145,3.96,17,33000,29705,90.02,0.136870,ADR-MAX,density
1000,33.3,145,7.92,17,110000,77827,70.75,0.626075,ADR-Lite,density
1000,0.0,72,7.92,17,110000,67580,61.44,0.177301,ADR-MAX,density
300,0.0,145,3.96,17,33000,28737,87.08,0.325436,No-ADR,density
1000,33.3,145,7.92,17,110000,59908,54.46,0.948331,ADR-MAX,density
1000,0.0,72,7.92,17,110000,57081,51.89,0.325436,No-ADR,density
1000,33.3,145,7.92,17,110000,63520,57.75,0.325436,No-ADR,density
1000,33.3,145,0.00,17,110000,60538,55.03,0.833177,ADR-AVG,density
300,0.0,145,7.92,17,33000,27937,84.66,0.171148,ADR-AVG,density
1000,33.3,72,0.00,17,110000,51993,47.27,0.834696,ADR-AVG,density
300,0.0,145,7.92,17,33000,28944,87.71,0.152599,ADR-Lite,density
1000,33.3,145,0.00,17,110000,80796,73.45,0.528357,ADR-Lite,density
1000,33.3,72,0.00,17,110000,76591,69.63,0.814839,ADR-Lite,density
300,0.0,145,7.92,17,33000,27962,84.73,0.139414,ADR-MAX,density
300,0.0,145,7.92,17,33000,29000,87.88,0.325436,No-ADR,density
1000,33.3,145,0.00,17,110000,60414,54.92,0.931634,ADR-MAX,density
1000,33.3,72,0.00,17,110000,51963,47.24,1.002080,ADR-MAX,density
1000,33.3,72,0.00,17,110000,46983,42.71,0.325436,No-ADR,density
1000,33.3,145,0.00,17,110000,62647,56.95,0.325436,No-ADR,density
300,0.0,3600,0.00,17,33000,32989,99.97,0.154823,ADR-AVG,density
1000,33.3,145,3.96,17,110000,60590,55.08,0.827788,ADR-AVG,density
300,0.0,3600,0.00,17,33000,32989,99.97,0.133027,ADR-Lite,density
1000,33.3,72,3.96,17,110000,52834,48.03,0.849994,ADR-AVG,density
1000,33.3,145,3.96,17,110000,79950,72.68,0.558614,ADR-Lite,density
300,0.0,3600,0.00,17,33000,32989,99.97,0.129999,ADR-MAX,density
1000,33.3,72,3.96,17,110000,76294,69.36,0.816022,ADR-Lite,density
300,0.0,3600,0.00,17,33000,32780,99.33,0.325436,No-ADR,density
1000,33.3,145,3.96,17,110000,60570,55.06,0.925681,ADR-MAX,density
1000,33.3,72,3.96,17,110000,52752,47.96,1.001382,ADR-MAX,density
300,0.0,3600,3.96,17,33000,32153,97.43,0.156484,ADR-AVG,density
1000,33.3,72,3.96,17,110000,48303,43.91,0.325436,No-ADR,density
1000,33.3,145,3.96,17,110000,63202,57.46,0.325436,No-ADR,density
300,0.0,3600,3.96,17,33000,32229,97.66,0.135772,ADR-Lite,density
1000,33.3,72,7.92,17,110000,53250,48.41,0.822933,ADR-AVG,density
1000,33.3,145,7.92,17,110000,59703,54.28,0.850718,ADR-AVG,density
300,0.0,3600,3.96,17,33000,32150,97.42,0.131052,ADR-MAX,density
1000,33.3,72,7.92,17,110000,74797,68.00,0.906708,ADR-Lite,density
1000,33.3,145,7.92,17,110000,77827,70.75,0.626075,ADR-Lite,density
300,0.0,3600,3.96,17,33000,32797,99.38,0.325436,No-ADR,density
1000,33.3,72,7.92,17,110000,53429,48.57,0.993353,ADR-MAX,density
1000,33.3,72,7.92,17,110000,50209,45.64,0.325436,No-ADR,density
300,0.0,3600,7.92,17,33000,29729,90.09,0.162108,ADR-AVG,density
1000,33.3,145,7.92,17,110000,59908,54.46,0.948331,ADR-MAX,density
